Player,Year,FirstServe,FirstServePointsWon,FirstServeReturnPointsWon,SecondServePointsWon,SecondServeReturnPointsWon,Aces,BreakPointsConverted,BreakPointsFaced,BreakPointsOpportunities,BreakPointsSaved,DoubleFaults,ReturnGamesPlayed,ReturnGamesWon,ReturnPointsWon,ServiceGamesPlayed,ServiceGamesWon,TotalPointsWon,TotalServicePointsWon,Wins,Losses,Winnings,Ranking
John Isner,2010,0.69,0.76,0.22,0.55,0.42,1048,0.33,296,310,0.69,136,902,0.11,0.29,916,0.9,0.5,0.69,38,24,904620,9
Gerald Melzer,2016,0.69,0.67,0.26,0.51,0.46,26,0.46,69,46,0.61,22,113,0.19,0.34,112,0.76,0.48,0.62,3,8,174961,115
Riccardo Ghedin,2013,0.69,0.68,0.26,0.49,0.64,3,0.27,13,15,0.69,3,15,0.27,0.39,16,0.75,0.5,0.62,0,0,10737,989
Santiago Giraldo,2015,0.69,0.67,0.28,0.49,0.49,122,0.37,285,300,0.56,61,513,0.22,0.37,510,0.76,0.49,0.62,22,28,573526,293
Daniel Brands,2011,0.69,0.69,0.23,0.47,0.41,105,0.28,103,58,0.57,45,178,0.09,0.29,176,0.75,0.46,0.62,4,11,189392,428
Walter Trusendi,2012,0.69,0.6,0.28,0.3,0.54,4,0.5,10,4,0.5,5,9,0.22,0.39,10,0.5,0.45,0.51,0,0,6144,695
Flavio Cipolla,2009,0.69,0.58,0.31,0.43,0.47,15,0.31,171,118,0.58,70,178,0.21,0.37,175,0.59,0.45,0.53,2,6,12536,649
Axel Michon,2014,0.69,0.56,0.4,0.42,0.65,5,0.49,38,35,0.58,6,38,0.45,0.49,35,0.54,0.5,0.52,1,1,101020,376
Gonzalo Escobar,2015,0.69,0.67,0.3,0.62,0.43,0,0.22,4,9,0.5,4,14,0.14,0.35,13,0.85,0.49,0.65,1,0,3542,371
Flavio Cipolla,2013,0.69,0.56,0.3,0.43,0.45,11,0.47,99,47,0.52,41,106,0.21,0.36,106,0.55,0.44,0.52,4,7,31342,649
Fernando Verdasco,2011,0.69,0.71,0.3,0.5,0.52,317,0.42,377,403,0.63,227,723,0.24,0.38,721,0.81,0.51,0.64,36,24,781150,37
Fernando Verdasco,2012,0.69,0.7,0.31,0.51,0.49,250,0.4,335,385,0.65,206,641,0.24,0.38,630,0.81,0.51,0.64,32,22,819124,37
Daniel Brands,2014,0.69,0.71,0.21,0.5,0.48,120,0.22,107,76,0.64,24,191,0.09,0.31,187,0.8,0.48,0.65,3,11,188167,428
Pedro Sousa,2013,0.69,0.42,0.47,0.5,0.63,1,0.64,15,14,0.4,4,16,0.56,0.5,16,0.44,0.48,0.45,2,1,32597,119
Andrea Arnaboldi,2014,0.69,0.61,0.31,0.5,0.42,7,0.17,10,6,0.5,1,14,0.07,0.34,14,0.64,0.45,0.58,0,1,95708,222
Konstantin Kravchuk,2014,0.69,0.72,0.19,0.48,0.32,3,0.0,5,1,0.4,0,16,0.0,0.24,16,0.81,0.45,0.65,0,2,89985,323
Bradley Klahn,2010,0.69,0.69,0.12,0.4,0.51,6,0.27,16,11,0.56,7,20,0.15,0.31,21,0.67,0.47,0.6,0,1,23059,165
Bradley Klahn,2013,0.69,0.75,0.25,0.53,0.45,32,0.32,21,28,0.43,9,65,0.14,0.34,64,0.81,0.5,0.68,1,3,135122,165
Dusan Lajovic,2017,0.69,0.68,0.26,0.55,0.47,125,0.42,239,199,0.64,51,440,0.19,0.34,445,0.81,0.49,0.64,18,22,548668,93
Dimitar Kuzmanov,2017,0.69,0.51,0.2,0.58,0.35,1,1.0,7,1,0.43,2,9,0.11,0.27,10,0.6,0.42,0.53,0,1,20248,304
Frederico Ferreira Silva,2017,0.69,0.64,0.33,0.39,0.63,3,0.62,11,13,0.45,3,18,0.44,0.45,17,0.65,0.51,0.56,2,1,24474,297
Carlos Gomez-Herrera,2012,0.69,0.62,0.27,0.54,0.48,5,0.1,11,10,0.64,6,14,0.07,0.32,15,0.73,0.45,0.6,0,1,12469,295
Blaz Rola,2015,0.68,0.67,0.28,0.46,0.47,46,0.3,90,69,0.67,39,126,0.17,0.35,123,0.76,0.48,0.6,6,6,173757,166
Aslan Karatsev,2014,0.68,0.6,0.33,0.53,0.44,2,0.2,8,5,0.63,3,10,0.1,0.37,9,0.67,0.47,0.58,0,1,39878,541
Matthias Bachinger,2016,0.68,0.61,0.31,0.27,0.5,3,0.43,13,7,0.62,1,10,0.3,0.36,10,0.5,0.44,0.5,0,1,60315,160
Jerzy Janowicz,2011,0.68,0.76,0.19,0.47,0.37,8,0.5,11,2,0.82,8,15,0.07,0.25,16,0.88,0.48,0.67,2,3,61448,178
Rudolf Molleker,2017,0.68,0.55,0.29,0.6,0.35,2,0.33,5,3,0.2,1,9,0.11,0.31,10,0.6,0.45,0.56,0,1,20382,540
Mate Pavic,2012,0.68,0.7,0.22,0.48,0.49,17,0.6,14,10,0.79,7,29,0.21,0.35,28,0.89,0.51,0.63,5,2,18890,938
Andrej Martin,2010,0.68,0.61,0.33,0.39,0.25,0,1.0,7,1,0.43,2,9,0.11,0.31,9,0.56,0.43,0.54,0,1,43998,145
Lucas Gomez,2017,0.68,0.5,0.09,0.17,0.47,0,0.0,6,0,0.17,0,7,0.0,0.25,7,0.29,0.32,0.39,0,0,2656,825
Mischa Zverev,2013,0.68,0.67,0.3,0.42,0.5,33,0.37,65,63,0.54,25,104,0.22,0.37,104,0.71,0.48,0.59,4,5,119246,55
Mischa Zverev,2015,0.68,0.7,0.27,0.51,0.48,106,0.34,102,110,0.63,27,191,0.19,0.35,186,0.8,0.49,0.64,7,8,99071,55
Denis Istomin,2014,0.68,0.72,0.27,0.51,0.48,354,0.4,325,305,0.63,82,641,0.19,0.35,646,0.81,0.5,0.65,28,26,626402,88
Maximilian Marterer,2017,0.68,0.66,0.26,0.52,0.39,62,0.32,67,41,0.55,15,123,0.11,0.31,120,0.75,0.46,0.62,0,10,206959,73
Yannick Mertens,2012,0.68,0.67,0.24,0.61,0.43,1,0.0,7,5,0.71,2,10,0.0,0.31,9,0.78,0.46,0.65,0,1,60622,336
Marsel Ilhan,2009,0.68,0.69,0.27,0.49,0.42,28,0.35,36,31,0.56,7,76,0.14,0.33,73,0.78,0.47,0.63,2,3,83162,303
Markus Eriksson,2015,0.68,0.76,0.21,0.45,0.38,2,1.0,4,1,0.5,1,11,0.09,0.28,10,0.8,0.46,0.66,0,2,14485,314
Marsel Ilhan,2012,0.68,0.67,0.25,0.52,0.47,9,0.23,27,13,0.74,4,35,0.09,0.33,35,0.8,0.48,0.62,3,4,74536,303
Rubin Statham,2015,0.68,0.54,0.25,0.61,0.59,1,0.67,7,3,0.43,2,10,0.2,0.38,10,0.6,0.47,0.56,0,0,5266,354
Guido Pella,2015,0.68,0.71,0.21,0.5,0.46,28,0.44,49,25,0.73,16,72,0.15,0.31,72,0.82,0.48,0.64,1,4,161633,60
Guido Pella,2016,0.68,0.68,0.27,0.54,0.51,193,0.36,307,278,0.7,101,489,0.2,0.37,485,0.81,0.5,0.64,16,23,612905,60
Marcos Giron,2014,0.68,0.71,0.19,0.36,0.31,7,0.14,23,7,0.78,18,26,0.04,0.23,26,0.81,0.44,0.6,0,2,56446,318
Mikael Ymer,2016,0.68,0.71,0.26,0.61,0.54,4,0.43,9,14,0.78,4,23,0.26,0.36,22,0.91,0.51,0.68,1,3,14612,358
Konstantin Kravchuk,2012,0.68,0.76,0.28,0.46,0.46,40,0.57,19,14,0.63,12,36,0.22,0.35,37,0.81,0.51,0.67,1,2,51114,323
Carlos Berlocq,2013,0.68,0.69,0.3,0.51,0.53,163,0.41,320,346,0.58,113,561,0.25,0.39,564,0.76,0.51,0.63,28,25,566670,114
Thomas Fabbiano,2015,0.68,0.62,0.22,0.39,0.43,5,0.19,20,16,0.5,9,29,0.1,0.32,28,0.64,0.43,0.55,0,3,92291,103
Ruben Bemelmans,2016,0.68,0.67,0.2,0.53,0.49,26,0.48,42,21,0.76,9,63,0.16,0.31,64,0.84,0.49,0.63,2,2,125383,108
Gerard Granollers,2011,0.68,0.47,0.26,0.44,0.53,1,0.38,23,13,0.48,4,21,0.24,0.39,19,0.37,0.42,0.46,0,0,6171,388
Bernard Tomic,2013,0.68,0.72,0.23,0.51,0.48,345,0.34,283,253,0.67,58,570,0.15,0.33,571,0.84,0.49,0.65,25,22,648750,182
Ruben Bemelmans,2010,0.68,0.7,0.29,0.47,0.39,35,0.38,44,26,0.73,5,64,0.16,0.32,61,0.8,0.48,0.63,1,5,75834,108
Konstantin Kravchuk,2013,0.68,0.75,0.22,0.4,0.32,15,0.33,9,6,0.44,7,18,0.11,0.25,18,0.72,0.45,0.64,2,1,43439,323
Gerald Melzer,2017,0.67,0.68,0.26,0.52,0.51,74,0.41,110,106,0.62,37,185,0.23,0.36,184,0.77,0.5,0.63,9,9,202227,115
Alexandr Dolgopolov,2009,0.67,0.69,0.25,0.42,0.56,9,1.0,6,3,0.33,2,13,0.23,0.36,12,0.67,0.48,0.6,1,1,74957,53
Bernard Tomic,2017,0.67,0.7,0.24,0.51,0.44,201,0.38,183,125,0.59,54,348,0.14,0.32,357,0.79,0.48,0.63,10,19,474873,182
Ivo Karlovic,2014,0.67,0.84,0.21,0.54,0.4,1185,0.32,209,223,0.72,177,809,0.09,0.28,803,0.93,0.51,0.74,36,28,869356,76
Yuki Bhambri,2015,0.67,0.61,0.29,0.47,0.21,5,0.4,6,5,0.33,3,16,0.13,0.26,15,0.73,0.43,0.56,2,3,111174,83
Ivo Karlovic,2009,0.67,0.85,0.21,0.54,0.42,890,0.32,148,186,0.69,100,580,0.1,0.28,591,0.92,0.51,0.75,23,23,533067,76
Alessandro Giannessi,2012,0.67,0.6,0.36,0.44,0.48,4,0.44,50,34,0.54,23,59,0.25,0.39,58,0.6,0.47,0.55,1,4,61027,164
Gilles Muller,2009,0.67,0.75,0.21,0.5,0.46,160,0.29,102,75,0.65,46,210,0.1,0.29,210,0.83,0.48,0.67,5,9,117369,28
Thiago Monteiro,2016,0.67,0.68,0.24,0.53,0.46,32,0.4,74,70,0.64,21,139,0.2,0.33,140,0.81,0.49,0.63,6,7,143966,126
Carlos Berlocq,2014,0.67,0.66,0.32,0.49,0.52,100,0.42,266,252,0.61,80,386,0.27,0.4,383,0.73,0.5,0.6,19,18,430623,114
Tigre Hank,2016,0.67,0.54,0.2,0.35,0.48,1,0.38,18,8,0.5,5,18,0.17,0.32,18,0.5,0.4,0.48,0,2,23855,973
Thomas Fabbiano,2016,0.67,0.63,0.29,0.45,0.5,30,0.39,118,107,0.47,39,166,0.25,0.38,166,0.63,0.48,0.57,5,10,230438,103
Simone Bolelli,2010,0.67,0.68,0.27,0.45,0.47,55,0.4,107,81,0.5,24,182,0.18,0.35,181,0.71,0.47,0.6,7,12,192955,144
Filip Krajinovic,2016,0.67,0.57,0.27,0.42,0.46,16,0.35,44,23,0.52,11,48,0.17,0.35,46,0.54,0.44,0.52,1,4,74258,27
Cedrik-Marcel Stebe,2016,0.67,0.5,0.38,0.55,0.5,1,0.25,7,8,0.29,3,10,0.2,0.42,10,0.5,0.46,0.52,0,1,29654,101
Filip Krajinovic,2017,0.67,0.73,0.28,0.53,0.47,54,0.53,30,36,0.57,14,89,0.21,0.35,91,0.86,0.51,0.66,5,2,605368,27
Radu Albot,2016,0.67,0.62,0.3,0.49,0.5,32,0.43,156,120,0.61,49,180,0.29,0.38,185,0.67,0.49,0.57,4,11,259687,96
Andrej Martin,2016,0.67,0.65,0.36,0.52,0.48,29,0.38,115,115,0.73,27,127,0.35,0.41,125,0.75,0.51,0.61,9,5,199164,145
Liam Broady,2016,0.67,0.64,0.21,0.56,0.47,8,0.18,17,11,0.65,4,29,0.07,0.29,27,0.78,0.45,0.61,0,2,72027,157
Mikhail Kukushkin,2017,0.67,0.68,0.29,0.5,0.52,75,0.45,185,173,0.63,24,310,0.25,0.38,300,0.77,0.5,0.62,13,14,524937,95
Matthias Bachinger,2010,0.67,0.74,0.29,0.51,0.52,20,0.23,16,26,0.56,8,39,0.15,0.38,41,0.83,0.51,0.67,1,2,53210,160
Yuki Bhambri,2010,0.67,0.6,0.39,0.34,0.75,3,1.0,10,8,0.3,9,15,0.53,0.51,15,0.53,0.51,0.52,1,1,24995,83
Yuki Bhambri,2013,0.67,0.69,0.22,0.47,0.44,8,0.0,7,4,0.71,3,11,0.0,0.28,10,0.8,0.44,0.62,2,1,36376,83
Alessandro Giannessi,2016,0.67,0.67,0.24,0.46,0.53,9,0.29,23,28,0.57,16,34,0.24,0.38,33,0.7,0.49,0.6,1,1,148490,164
Nikoloz Basilashvili,2015,0.67,0.64,0.26,0.5,0.48,37,0.38,105,82,0.56,49,162,0.19,0.34,161,0.71,0.47,0.6,4,8,296978,80
Bernard Tomic,2014,0.67,0.75,0.25,0.54,0.47,298,0.36,146,165,0.6,36,401,0.15,0.33,401,0.85,0.5,0.68,17,15,499792,182
Oliver Golding,2012,0.67,0.75,0.22,0.38,0.45,26,0.57,16,7,0.69,25,31,0.13,0.3,33,0.85,0.49,0.63,0,2,36360,701
Sekou Bangoura,2017,0.67,0.85,0.03,0.5,0.28,5,0.0,1,0,0.0,6,11,0.0,0.14,11,0.91,0.45,0.73,0,1,50346,497
Kevin Anderson,2011,0.67,0.75,0.28,0.54,0.49,719,0.41,345,396,0.66,136,809,0.2,0.36,818,0.86,0.52,0.68,42,27,700879,8
Daniel Brands,2013,0.67,0.73,0.25,0.54,0.47,390,0.34,228,233,0.62,103,556,0.14,0.33,557,0.85,0.5,0.67,24,23,518107,428
Frank Dancevic,2017,0.67,0.79,0.2,0.45,0.46,10,0.4,8,10,0.5,4,23,0.17,0.3,23,0.83,0.5,0.68,1,1,57530,328
Alexandar Lazov,2016,0.67,0.56,0.12,0.06,0.45,1,0.5,11,2,0.45,2,7,0.14,0.3,8,0.25,0.35,0.39,1,1,3666,467
John Isner,2009,0.67,0.75,0.22,0.56,0.42,653,0.32,221,204,0.7,114,602,0.11,0.3,610,0.89,0.5,0.69,27,18,405498,9
Markus Eriksson,2013,0.67,0.64,0.33,0.5,0.45,5,0.3,30,23,0.7,12,35,0.2,0.37,35,0.74,0.49,0.59,3,5,22056,314
Jurgen Melzer,2016,0.67,0.67,0.35,0.44,0.5,16,0.48,50,46,0.58,15,72,0.31,0.41,72,0.71,0.5,0.59,4,3,67594,581
Mohamed Safwat,2013,0.67,0.79,0.35,0.46,0.56,8,0.62,9,13,0.56,2,20,0.4,0.43,19,0.79,0.55,0.68,1,1,42865,226
Alessandro Bega,2017,0.67,0.7,0.26,0.39,0.51,4,0.29,5,7,0.2,3,12,0.17,0.39,12,0.67,0.48,0.6,0,1,31131,352
Fred Gil,2010,0.67,0.61,0.31,0.49,0.48,45,0.42,203,127,0.61,42,244,0.22,0.38,240,0.67,0.48,0.57,6,7,36458,440
Kimmer Coppejans,2015,0.67,0.64,0.25,0.54,0.5,17,0.17,26,23,0.62,11,37,0.11,0.32,35,0.71,0.46,0.61,1,3,104751,313
Niels Desein,2015,0.67,0.73,0.2,0.44,0.45,6,0.33,7,3,0.57,6,13,0.08,0.3,13,0.77,0.47,0.63,0,1,53522,451
Jan Choinski,2016,0.67,0.55,0.25,0.6,0.5,2,0.0,3,2,0.33,1,4,0.0,0.33,5,0.6,0.45,0.57,0,1,16917,234
John-Patrick Smith,2017,0.67,0.64,0.31,0.53,0.44,16,0.36,26,22,0.58,8,42,0.19,0.36,43,0.74,0.48,0.61,0,3,147532,238
Niels Desein,2013,0.67,0.54,0.3,0.58,0.43,2,0.22,8,9,0.38,1,13,0.15,0.35,14,0.64,0.46,0.55,0,1,47037,451
Zhe Li,2011,0.67,0.64,0.18,0.29,0.49,7,0.0,15,3,0.47,5,16,0.0,0.29,16,0.5,0.41,0.52,0,2,38088,333
Daniel Brands,2009,0.67,0.76,0.25,0.5,0.49,100,0.34,77,87,0.69,39,161,0.19,0.34,159,0.85,0.51,0.67,7,5,160018,428
Rubin Statham,2014,0.67,0.57,0.25,0.32,0.48,3,0.0,11,4,0.64,3,8,0.0,0.34,8,0.5,0.42,0.48,0,1,4365,354
Christian Lindell,2011,0.67,0.47,0.24,0.44,0.37,3,0.2,33,10,0.42,6,31,0.06,0.28,31,0.39,0.37,0.46,0,4,25997,357
Jordi Samper-Montana,2016,0.67,0.56,0.33,0.5,0.6,2,0.67,17,9,0.59,0,18,0.33,0.43,18,0.61,0.49,0.54,0,1,87718,400
Mikael Ymer,2017,0.67,0.6,0.31,0.43,0.53,5,0.32,56,44,0.63,22,57,0.25,0.39,56,0.63,0.47,0.55,2,5,60150,358
Hyeon Chung,2016,0.67,0.65,0.27,0.48,0.5,42,0.38,116,109,0.47,29,212,0.19,0.36,207,0.71,0.48,0.6,8,13,237733,19
Kevin Anderson,2010,0.66,0.75,0.25,0.5,0.47,306,0.37,162,192,0.55,103,425,0.17,0.34,425,0.83,0.5,0.67,14,18,300355,8
Franko Skugor,2017,0.66,0.71,0.27,0.43,0.42,24,0.35,29,17,0.66,8,46,0.13,0.32,44,0.77,0.47,0.62,2,5,54998,292
Miljan Zekic,2017,0.66,0.68,0.23,0.5,0.42,11,0.22,25,9,0.68,5,30,0.07,0.31,30,0.73,0.48,0.62,1,2,65909,294
Bernard Tomic,2011,0.66,0.71,0.26,0.5,0.48,183,0.34,214,205,0.6,66,392,0.18,0.35,402,0.79,0.5,0.64,16,15,490224,182
Santiago Giraldo,2012,0.66,0.67,0.28,0.53,0.48,102,0.39,252,242,0.64,36,458,0.21,0.36,450,0.8,0.5,0.63,21,21,364577,293
Damir Dzumhur,2015,0.66,0.65,0.33,0.48,0.5,41,0.41,101,117,0.45,31,179,0.27,0.39,173,0.68,0.49,0.59,8,9,290160,31
Laslo Djere,2015,0.66,0.7,0.27,0.23,0.37,2,0.25,10,4,0.6,8,9,0.11,0.32,9,0.56,0.44,0.54,0,1,48319,102
Dmitry Tursunov,2017,0.66,0.64,0.25,0.41,0.43,12,0.38,59,24,0.56,16,69,0.13,0.31,68,0.62,0.44,0.56,1,5,161148,516
Omar Jasika,2014,0.66,0.62,0.24,0.48,0.44,3,0.5,8,6,0.38,3,15,0.2,0.33,16,0.69,0.46,0.57,0,1,15743,531
Marco Chiudinelli,2011,0.66,0.66,0.25,0.5,0.47,19,0.28,42,39,0.6,11,76,0.14,0.34,77,0.78,0.48,0.61,3,4,96927,464
Thomas Fabbiano,2013,0.66,0.64,0.15,0.46,0.44,0,0.2,12,5,0.75,7,16,0.06,0.26,14,0.79,0.43,0.58,0,1,64526,103
Radu Albot,2014,0.66,0.62,0.33,0.44,0.48,8,0.31,55,39,0.64,17,64,0.19,0.39,66,0.7,0.47,0.56,7,4,98805,96
